invoice_number,release_date,business_partner_code,seller_code,invoice_value,item_quantity,item_code
60,2022-08-15,C000454,5,8476.59,6,S0002
61,2022-08-17,C000581,4,85480.47,1,S0002
66,2022-09-06,C000610,6,6531.57,12,S0011
67,2022-09-06,C000060,4,13039.48,1,S0005
67,2022-09-06,C000060,4,1124.9,4,S0003
74,2022-09-09,C000004,3,101590.31,1418,S0024
75,2022-09-09,C000004,1,25147.38,2811,S0024
78,2022-09-09,C000276,1,497528.9,1,S0001
79,2022-09-13,C000275,2,8329.48,4,S0005
80,2022-09-14,C000064,23,8049.89,1,S0006
81,2022-09-15,C000453,4,1017.78,1,S0024
84,2022-09-20,C000456,6,1290.49,1,S0024
85,2022-09-20,C000220,1,65.45,1,S0002
86,2022-09-20,C000120,1,80492.6,1,S0002
87,2022-09-20,C000227,3,5847.16,10,S0002
88,2022-09-20,C000161,1,21716.11,1,S0002
89,2022-09-22,C000536,6,4686.93,12,S0009
90,2022-09-23,C000581,4,701215.49,1,S0002
91,2022-09-30,C000079,4,3274.56,7,S0006
92,2022-10-03,C000060,4,12586.52,3,S0005
92,2022-10-03,C000060,4,445.76,1,S0003
93,2022-10-05,C000120,1,311921.81,1,S0002
94,2022-10-05,C000161,1,9724.79,1,S0002
95,2022-10-05,C000064,23,9690.99,1,S0006
96,2022-10-10,C000276,1,24787.42,190,S0001
98,2022-10-18,C000540,7,69417.98,9,S0005
99,2022-10-18,C000581,4,374191.68,1,S0002
100,2022-10-19,C000457,23,9148.28,1,S0005
102,2022-11-03,C000146,3,86269.29,1,S0002
103,2022-11-03,C000585,3,9625.14,10,S0011
104,2022-11-04,C000276,1,37542.45,1,S0001
105,2022-11-07,C000456,6,1112.16,10,S0024
106,2022-11-07,C000456,6,372.84,1,S0024
107,2022-11-07,C000456,6,962.49,1,S0024
108,2022-11-08,C000282,1,16975.72,10,S0005
109,2022-11-09,C000184,1,357352.54,1,S0002
112,2022-11-11,C000220,1,17610.52,1,S0002
115,2022-11-11,C000349,3,12518.52,1,S0002
116,2022-11-11,C000437,3,16102.07,7,S0002
120,2022-11-16,C000161,3,7117.78,1,S0002
121,2022-11-17,C000060,4,11582.06,1,S0005
121,2022-11-17,C000060,4,578.98,8,S0003
122,2022-11-18,C000227,3,35352.11,13,S0002
123,2022-11-18,C000603,4,6376.78,10,S0002
124,2022-11-21,C000228,1,61204.66,1,S0002
126,2022-11-24,C000581,4,516733.24,1,S0002
127,2022-11-29,C000456,6,251.13,1,S0006
128,2022-12-01,C000064,23,7709.57,1,S0006
129,2022-12-01,C000228,1,78160.19,1,S0002
131,2022-12-01,C000184,1,236413.04,13,S0002
132,2022-12-06,C000544,5,844.32,1,S0024
133,2022-12-08,C000060,4,552.74,1,S0003
133,2022-12-08,C000060,4,10492.81,1,S0005
134,2022-12-09,C000276,1,51864.38,170,S0001
135,2022-12-09,C000276,1,39206.75,219,S0001
137,2022-12-12,C000108,1,11201.91,11131,S0002
137,2022-12-12,C000108,1,36301.79,53830,S0002
137,2022-12-12,C000108,1,63832.91,46396,S0002
137,2022-12-12,C000108,1,15609.85,25981,S0002
137,2022-12-12,C000108,1,29814.99,25989,S0002
144,2022-12-14,C000130,23,198584.06,140411,S0002
144,2022-12-14,C000130,23,12350.33,20,S0002
145,2022-12-14,C000108,1,10696.97,7,S0007
147,2022-12-15,C000456,6,4817.39,1,S0011
148,2022-12-15,C000655,5,16736.7,6,S0005
150,2022-12-16,C000064,23,8041.49,1,S0006
152,2022-12-19,C000188,23,2982.47,1,S0005
153,2022-12-20,C000581,4,164174.46,12,S0002
154,2022-12-20,C000079,4,2997.47,1,S0005
155,2022-12-26,C000723,4,6186.5,9,S0011
156,2023-01-06,C000060,4,17883.43,2,S0005
156,2023-01-06,C000060,4,455.1,1,S0003
157,2023-01-06,C000220,1,52103.43,1,S0002
160,2023-01-06,C000227,1,123680.41,1,S0002
161,2023-01-06,C000229,1,37346.15,1,S0002
162,2023-01-06,C000184,1,61937.72,9,S0002
163,2023-01-06,C000349,1,83936.92,1,S0002
165,2023-01-06,C000228,1,190663.14,1,S0002
166,2023-01-06,C000161,1,257058.88,1,S0002
167,2023-01-06,C000184,1,93196.12,1,S0002
168,2023-01-06,C000161,1,47742.23,1,S0002
169,2023-01-06,C000120,1,232159.6,11,S0002
170,2023-01-06,C000229,1,147667.52,1,S0002
172,2023-01-06,C000120,1,118753.53,1,S0002
178,2023-01-09,C000276,1,13718.32,60,S0003
178,2023-01-09,C000276,1,30115.96,132,S0001
181,2023-01-09,C000282,1,87564.35,11,S0014
182,2023-01-09,C000276,1,497284.57,13,S0003
185,2023-01-10,C000064,23,10117.74,1,S0006
186,2023-01-10,C000779,5,245778.84,1,S0002
188,2023-01-11,C000282,1,72617.01,2,S0011
193,2023-02-03,C000276,3,24146.21,302,S0001
194,2023-02-03,C000064,7,3907.51,1,S0006
195,2023-02-07,C000060,7,7335.7,1,S0005
196,2023-02-07,C000060,7,1188.69,1,S0003
197,2023-02-07,C000613,5,6214.78,1,S0002
197,2023-02-07,C000613,5,21864.45,18,S0002
200,2023-02-09,C000130,3,212706.1,1,S0002
206,2022-04-08,C000184,1,20158.08,10,S0005
207,2022-04-11,C000108,1,671095.88,612,S0006
207,2023-02-13,C000130,3,61601.89,5,S0006
208,2022-04-11,C000004,1,60484.9,1480,S0006
208,2022-04-11,C000004,1,8621.46,2987,S0006
211,2023-02-14,C000220,23,7959.59,1,S0002
212,2023-02-14,C000349,23,93902.96,13,S0002
213,2023-02-15,C000220,23,39115.36,5,S0002
214,2023-02-16,C000161,23,69429.04,1,S0002
216,2023-02-23,C000456,6,2747.8,1,S0006
217,2023-02-28,C000456,3,601.16,1,S0006
219,2023-03-01,C000377,3,7851.06,5,S0019
220,2023-03-02,C000276,3,16907.5,7,S0001
221,2023-03-02,C000276,3,9896.08,1,S0001
222,2023-03-07,C000060,7,4732.7,6,S0005
225,2023-03-09,C000064,7,10709.08,12,S0006
226,2023-03-09,C000060,7,407.09,1,S0003
229,2023-03-15,C000780,26,15302.63,3,S0011
232,2023-03-17,C000743,5,17735.8,1,S0002
233,2023-03-24,C000161,3,47897.7,5,S0002
234,2023-03-24,C000120,3,138918.57,9,S0002
236,2023-03-24,C000437,3,21381.02,9,S0002
237,2023-03-24,C000229,3,56757.98,8,S0002
238,2023-03-24,C000228,3,65633.32,1,S0002
241,2023-03-29,C000079,39,680.02,1,S0003
242,2023-03-29,C000079,39,913.95,10,S0003
243,2023-03-29,C000079,39,1400.53,11,S0003
244,2023-03-31,C000464,3,369.65,9,S0023
246,2023-04-06,C000276,3,44130.6,8,S0001
247,2023-04-06,C000276,3,5203.25,9,S0001
248,2023-04-12,C000349,3,5130.01,1,S0002
249,2023-04-12,C000220,3,24285.18,1,S0002
253,2023-04-18,C000456,3,578.97,2,S0006
254,2023-04-20,C000120,3,46598.44,1,S0002
255,2023-04-24,C000779,5,47587.35,9,S0002
256,2023-04-24,C000079,39,595.92,1,S0003
257,2023-04-24,C000060,3,400.62,4,S0003
258,2023-04-24,C000060,3,12594.15,1,S0005
259,2023-05-02,C000276,3,63469.33,1,S0001
261,2023-05-03,C000276,3,24093.55,6,S0001
262,2023-05-04,C000282,6,16930.8,9,S0005
263,2023-05-04,C000680,56,635.98,5,S0017
264,2023-05-04,C000060,3,724.52,5,S0003
265,2023-05-04,C000060,3,12319.47,6,S0003
266,2023-05-05,C000662,5,9821.96,1,S0005
268,2023-05-11,C000079,35,2076.02,1,S0003
269,2023-05-12,C000456,3,7072.81,1,S0005
272,2023-05-16,C000229,3,6647.89,5,S0002
273,2023-05-16,C000184,3,15994.72,3,S0002
277,2023-05-30,C000600,7,6093.88,1,S0003
279,2023-06-06,C000130,3,214229.31,1,S0002
281,2023-06-06,C000276,3,33640.39,1,S0001
283,2023-06-06,C000282,3,15669.49,1,S0001
284,2023-06-06,C000276,3,41505.5,1,S0001
285,2023-06-06,C000680,56,474.96,14,S0017
286,2023-06-09,C000060,3,8686.41,1,S0003
287,2023-06-09,C000060,3,966.81,4,S0003
288,2023-06-16,C000079,35,1712.02,1,S0003
289,2023-06-16,C000850,5,7361.99,1,S0011
290,2023-06-16,C000456,6,30169.27,1,S0006
293,2023-06-16,C000283,26,2212.14,11,S0005
294,2023-06-20,C000161,3,52387.87,2,S0002
295,2023-06-20,C000544,5,2563.95,1,S0023
296,2023-06-21,C000437,3,6358.76,1,S0002
297,2023-06-21,C000437,3,19152.58,5,S0002
299,2023-06-22,C000229,3,10860.84,3,S0002
300,2023-06-22,C000456,6,1283.03,1,S0006
301,2023-06-28,C000536,6,6166.0,13,S0009
302,2023-07-04,C000397,6,2532.15,9,S0005
303,2023-07-07,C000680,56,379.99,1,S0017
310,2023-07-11,C000025,26,5449.54,1,S0009
311,2023-07-11,C000456,3,989.23,6,S0006
312,2023-07-12,C000276,3,101717.31,1,S0001
313,2023-07-12,C000276,3,112527.51,1,S0001
314,2023-07-12,C000079,35,1452.9,1,S0003
315,2023-07-12,C000125,2,43666.24,1,S0024
316,2023-07-14,C000120,3,64443.73,12,S0024
317,2023-07-14,C000229,3,46845.75,1,S0002
318,2023-07-17,C000184,3,66444.38,6,S0002
319,2023-07-17,C000228,3,35800.51,1,S0002
320,2023-07-19,C000120,3,118018.0,6,S0002
321,2023-07-19,C000437,3,82938.16,10,S0002
322,2023-07-24,C000120,3,66280.39,1,S0024
323,2023-07-27,C000780,26,3101.75,9,S0009
324,2023-08-07,C000680,56,658.09,4,S0017
325,2023-08-08,C000276,3,32626.24,1,S0001
326,2023-08-08,C000276,3,913.99,5,S0001
327,2023-08-08,C000130,3,248156.74,5,S0002
328,2023-08-08,C000130,3,16071.91,1,S0005
329,2023-08-08,C000276,3,138206.87,7,S0001
330,2023-08-09,C000125,2,3486.7,1,S0024
331,2023-08-09,C000456,6,1043.27,1,S0006
332,2023-08-10,C000282,3,30868.48,1,S0005
333,2023-08-10,C000282,3,11667.12,8,S0001
334,2023-08-11,C000456,65,1094.85,1,S0006
335,2023-08-17,C000060,61,1004.63,3,S0003
336,2023-08-17,C000060,61,608.09,1,S0006
338,2023-08-23,C000895,26,4866.73,21,S0004
339,2023-08-23,C000060,61,21392.46,4,S0014
340,2023-08-23,C000060,61,976.51,1,S0011
341,2023-08-23,C000349,3,17732.4,1,S0002
345,2023-08-24,C000704,7,752.03,12,S0024
346,2023-08-24,C000704,7,1804.2,11,S0024
347,2023-08-25,C000613,5,59957.17,2,S0026
348,2023-08-25,C000079,35,1625.95,12,S0003
349,2023-08-25,C000120,3,35680.19,11,S0024
350,2023-08-30,C000680,56,843.2,18,S0017
351,2023-09-04,C000456,3,3104.94,3,S0006
352,2023-09-06,C000276,3,1767.1,2,S0001
353,2023-01-10,C000130,1,151658.34,207,S0010
353,2023-01-10,C000130,1,14430.41,15,S0010
353,2023-09-06,C000276,3,51664.41,7,S0001
354,2023-09-06,C000276,3,25586.92,1,S0001
355,2023-09-06,C000130,3,11745.25,1,S0009
356,2023-09-06,C000130,3,13676.09,1,S0002
357,2023-09-06,C000282,3,57225.79,13,S0005
358,2023-09-11,C000125,2,2951.78,9,S0024
359,2023-09-11,C000079,61,676.76,10,S0003
360,2023-09-12,C000843,6,120591.79,1,S0002
361,2023-09-13,C000060,61,533.97,1,S0003
362,2023-09-13,C000060,61,16457.4,1,S0005
363,2023-09-13,C000060,61,609.76,9,S0006
364,2023-09-13,C000060,61,2044.0,6,S0005
365,2023-09-15,C000357,6,2054.87,1,S0002
366,2023-09-20,C000242,35,69897.29,3,S0011
367,2023-09-25,C000120,3,86602.99,1,S0024
374,2023-10-05,C000004,3,433065.16,7,S0007
376,2023-10-05,C000004,3,42458.15,4,S0007
378,2023-10-09,C000060,61,1528.9,7,S0003
379,2023-10-09,C000060,61,8043.5,3,S0005
380,2023-03-09,C000004,3,71227.1,101890,S0007
380,2023-10-09,C000060,61,669.54,1,S0006
381,2023-10-09,C000060,61,2738.29,3,S0005
382,2023-10-10,C000585,6,25997.87,1,S0011
383,2023-03-15,C000130,3,121154.46,2,S0002
383,2023-10-11,C000079,61,1487.75,2,S0003
384,2023-03-15,C000130,3,17815.99,5,S0005
384,2023-10-11,C000680,7,179.6,3,S0017
385,2023-10-23,C000456,6,2309.88,2,S0006
386,2023-10-24,C000064,7,19905.73,1,S0006
387,2023-10-25,C000120,23,84394.58,1,S0024
389,2023-10-25,C000680,2,503.98,1,S0004
389,2023-10-25,C000680,2,1980.56,4,S0004
389,2023-10-25,C000680,2,2449.12,4,S0004
389,2023-10-25,C000680,2,1470.29,14,S0004
389,2023-10-25,C000680,2,2202.8,1,S0004
389,2023-10-25,C000680,2,1726.15,8,S0004
389,2023-10-25,C000680,2,855.4,1,S0004
389,2023-10-25,C000680,2,1340.39,1,S0004
389,2023-10-25,C000680,2,493.4,10,S0004
389,2023-10-25,C000680,2,1906.53,13,S0004
389,2023-10-25,C000680,2,1560.73,13,S0004
391,2023-11-01,C000282,6,34187.13,6,S0005
392,2023-11-09,C000348,2,16473.47,5,S0005
393,2023-11-09,C000079,61,735.58,10,S0003
394,2023-11-09,C000060,61,590.21,1,S0006
395,2023-11-09,C000060,61,1268.35,7,S0003
396,2023-04-06,C000130,3,300015.63,1,S0002
396,2023-11-09,C000060,61,21081.7,1,S0005
397,2023-11-09,C000680,7,396.75,7,S0017
400,2023-11-10,C000276,23,138572.63,2,S0001
401,2023-04-13,C000004,3,51215.46,12,S0007
401,2023-11-10,C000276,23,82684.39,8,S0001
402,2023-04-13,C000004,3,288289.69,9,S0007
403,2023-11-13,C000162,2,102.26,5,S0024
403,2023-11-13,C000162,2,2208.84,1,S0024
404,2023-11-13,C000162,2,5887.01,1,S0014
404,2023-11-13,C000162,2,11288.13,6,S0014
405,2023-11-13,C000162,2,6943.92,15,S0024
405,2023-11-13,C000162,2,2596.19,93,S0024
406,2023-11-13,C000162,2,8829.52,12,S0024
406,2023-11-13,C000162,2,5287.07,84,S0024
407,2023-11-16,C000064,7,20654.4,13,S0006
408,2023-11-17,C000456,3,2818.46,2,S0024
409,2023-11-20,C000064,7,4892.01,5,S0006
410,2023-05-03,C000130,3,422577.14,12,S0002
410,2023-11-21,C000723,59,9285.89,8,S0011
411,2023-11-23,C000120,23,18807.12,2,S0024
412,2023-12-05,C000079,61,903.16,2,S0003
413,2023-12-05,C000276,23,41982.76,8,S0001
414,2023-12-05,C000276,23,59042.45,1,S0001
415,2023-12-05,C000007,6,194540.06,1,S0002
416,2023-12-06,C000843,6,6676.22,2,S0024
417,2023-05-09,C000004,3,81028.68,1,S0007
417,2023-12-06,C000283,26,3967.94,3,S0011
419,2023-12-07,C000125,48,6466.12,11,S0024
420,2023-12-07,C000060,61,223.59,1,S0006
421,2023-12-07,C000060,61,496.82,13,S0003
422,2023-12-07,C000060,61,11370.49,1,S0005
423,2023-12-07,C000680,7,732.43,12,S0017
424,2023-12-13,C000456,6,5829.3,10,S0024
425,2023-12-13,C000349,23,7980.08,11,S0001
426,2023-12-13,C000220,23,9579.79,1,S0001
427,2023-12-13,C000228,23,29348.48,10,S0001
428,2023-12-13,C000184,23,13653.08,1,S0001
429,2023-12-13,C000161,23,9850.65,13,S0001
430,2023-12-13,C000120,23,85593.04,12,S0001
431,2023-12-13,C000227,23,5264.94,1,S0001
432,2023-12-13,C000162,75,8686.36,503,S0024
432,2023-12-13,C000162,75,5129.79,146,S0024
433,2023-12-13,C000162,75,14574.02,144,S0024
433,2023-12-13,C000162,75,1698.24,514,S0024
434,2023-12-13,C000779,5,61446.43,1,S0002
435,2023-12-14,C000883,26,2667.19,1,S0011
436,2023-12-14,C000885,26,5903.05,1,S0011
437,2023-12-14,C000882,26,3864.54,6,S0011
438,2023-12-14,C000884,26,5005.69,1,S0011
439,2023-12-14,C000881,26,10168.6,6,S0011
440,2023-12-14,C000440,61,33285.34,1,S0006
441,2023-12-15,C000227,23,11816.37,3,S0001
442,2023-12-15,C000228,23,2390.1,8,S0001
443,2023-12-15,C000349,23,5715.83,1,S0001
444,2023-12-15,C000220,23,3317.45,11,S0001
445,2023-12-15,C000161,23,7629.62,8,S0001
446,2023-12-15,C000120,23,60803.28,3,S0001
447,2023-12-15,C000813,43,1074.83,12,S0024
447,2023-12-15,C000813,43,610.37,1,S0024
449,2023-12-15,C000120,23,51044.33,1,S0024
450,2023-12-19,C000763,5,12274.62,9,S0014
450,2023-12-19,C000763,5,20407.7,10,S0014
450,2023-12-19,C000763,5,5114.96,15,S0014
450,2023-12-19,C000763,5,1982.85,1,S0014
450,2023-12-19,C000763,5,61813.89,24,S0014
452,2023-07-10,C000130,3,516925.33,1,S0002
452,2023-12-19,C000293,5,25823.35,4,S0014
453,2023-07-10,C000130,3,76249.34,6,S0005
453,2023-12-19,C000957,5,21955.74,4,S0014
453,2023-12-19,C000957,5,4216.51,10,S0014
453,2023-12-19,C000957,5,2206.64,14,S0014
453,2023-12-19,C000957,5,7926.28,20,S0014
454,2023-12-19,C000972,5,22113.66,1,S0014
455,2023-12-20,C000656,5,11307.88,5,S0014
455,2023-12-20,C000656,5,24743.79,10,S0014
455,2023-12-20,C000656,5,37281.46,7,S0014
455,2023-12-20,C000656,5,2659.4,5,S0014
455,2023-12-20,C000656,5,13022.58,24,S0014
456,2023-12-20,C000843,6,1142.43,1,S0006
457,2023-12-20,C000850,5,13531.19,3,S0014
458,2023-12-28,C000581,6,52783.65,1,S0006
459,2024-01-05,C000064,7,7890.91,5,S0006
460,2024-01-05,C000007,6,205202.82,196,S0002
460,2024-01-05,C000007,6,502441.67,4,S0002
461,2024-01-08,C000060,61,13805.6,1,S0005
462,2024-01-09,C000060,61,471.03,1,S0006
463,2024-01-09,C000680,72,715.82,10,S0006
464,2024-01-09,C000975,59,500.04,13,S0004
464,2024-01-09,C000975,59,2077.37,1,S0004
464,2024-01-09,C000975,59,449.92,1,S0004
464,2024-01-09,C000975,59,785.23,3,S0004
464,2024-01-09,C000975,59,615.5,1,S0004
464,2024-01-09,C000975,59,1901.65,1,S0004
464,2024-01-09,C000975,59,879.55,3,S0004
464,2024-01-09,C000975,59,2140.28,13,S0004
464,2024-01-09,C000975,59,1140.74,1,S0004
464,2024-01-09,C000975,59,2553.87,1,S0004
464,2024-01-09,C000975,59,688.54,13,S0004
466,2024-01-09,C000184,23,13036.08,5,S0001
466,2023-07-24,C000060,61,1100.21,1,S0003
467,2023-07-24,C000060,61,20984.84,1,S0002
467,2024-01-10,C000060,61,618.22,21,S0006
468,2023-07-24,C000060,61,557.74,2,S0006
468,2024-01-10,C000870,72,411.12,1,S0004
468,2024-01-10,C000870,72,572.61,4,S0004
468,2024-01-10,C000870,72,545.62,1,S0004
468,2024-01-10,C000870,72,135.75,1,S0004
468,2024-01-10,C000870,72,250.37,11,S0004
468,2024-01-10,C000870,72,655.12,1,S0004
468,2024-01-10,C000870,72,403.15,12,S0004
468,2024-01-10,C000870,72,157.27,13,S0004
468,2024-01-10,C000870,72,473.29,10,S0004
468,2024-01-10,C000870,72,516.69,1,S0004
468,2024-01-10,C000870,72,130.11,11,S0004
469,2023-07-24,C000060,61,3466.82,2,S0002
469,2024-01-10,C000162,75,13082.68,143,S0024
469,2024-01-10,C000162,75,8333.08,1,S0006
470,2024-01-16,C000456,6,1442.42,1,S0024
471,2024-01-17,C000064,7,3582.0,8,S0006
473,2024-01-24,C000979,35,12539.01,6,S0014
474,2024-01-24,C000797,7,41385.23,1,S0031
475,2024-01-25,C000397,6,26630.84,42,S0009
477,2024-02-02,C000984,43,13425.16,1,S0021
477,2024-02-02,C000984,43,14230.21,1,S0021
478,2024-02-05,C000079,76,1497.55,1,S0006
479,2024-02-05,C000680,76,517.99,12,S0006
481,2024-02-07,C000276,76,44695.1,1,S0003
482,2024-02-07,C000276,35,124337.89,7,S0003
486,2024-02-13,C000225,76,438.02,1,S0038
487,2024-02-13,C000843,35,540.94,1,S0024
488,2024-02-13,C000843,35,1231.86,1,S0024
489,2024-02-13,C000802,43,35034.67,5,S0057
490,2024-02-13,C000064,76,2640.56,9,S0006
491,2024-02-19,C000162,75,9580.23,5,S0059
491,2024-02-19,C000162,75,14943.55,136,S0024
492,2024-02-21,C000456,76,3671.37,50,S0024
493,2024-02-22,C000979,35,24258.87,1,S0036
494,2024-02-22,C000120,35,28787.4,880,S0024
495,2024-02-23,C000972,35,11998.49,1,S0036
496,2024-03-07,C000079,76,1436.84,13,S0056
497,2024-03-07,C000680,76,761.73,1,S0056
498,2024-03-07,C000004,35,123998.81,1,S0002
499,2024-03-07,C000004,35,38805.35,8,S0002
500,2024-03-12,C000802,71,2387.14,3,S0059
501,2024-03-12,C000802,71,10616.58,1,S0059
502,2024-03-15,C000456,76,5181.73,65,S0024
503,2024-03-15,C000162,76,8052.86,9,S0059
503,2024-03-15,C000162,76,14412.83,135,S0024
504,2024-03-18,C000552,5,55531.12,3,S0042
505,2024-03-19,C000843,76,1156.69,1,S0024
507,2024-03-25,C000120,76,35964.55,12,S0042
508,2024-03-25,C000227,76,1180.18,1,S0042
509,2024-03-25,C000228,76,324.87,1,S0042
510,2024-03-25,C000120,76,87726.18,1,S0042
511,2024-03-25,C000227,76,2017.03,3,S0042
512,2023-10-02,C000004,3,35303.9,5,S0007
514,2024-03-25,C000349,76,1088.02,1,S0042
515,2024-03-25,C000161,76,3518.22,5,S0042
516,2024-03-25,C000228,76,471.39,1,S0042
517,2024-03-25,C000184,76,3813.29,7,S0042
518,2024-03-25,C000349,76,2598.68,1,S0042
519,2024-03-25,C000220,76,6953.24,1,S0042
520,2024-03-25,C000161,76,6986.73,1,S0042
521,2024-03-25,C000220,76,1913.67,3,S0042
522,2024-03-25,C000184,76,10927.01,4,S0042
523,2024-03-26,C000079,76,1699.6,11,S0056
524,2024-03-28,C000704,43,2764.09,11,S0024
525,2024-03-28,C000704,43,2528.12,1,S0024
526,2024-03-28,C000802,71,10118.63,12,S0038
527,2024-03-28,C000802,43,8416.85,7,S0057
529,2024-04-01,C000680,76,455.08,8,S0056
530,2024-04-01,C000225,76,1115.22,55,S0025
531,2024-04-02,C000225,76,614.36,315,S0038
534,2024-04-04,C000070,35,496055.83,1,S0002
535,2024-04-11,C000456,76,4798.61,65,S0024
536,2024-04-12,C000125,35,12918.31,47,S0055
537,2024-04-15,C000162,76,3528.35,135,S0024
537,2024-04-15,C000162,76,9757.85,14,S0059
538,2024-04-15,C000843,76,1684.93,1,S0024
539,2024-04-15,C001023,71,11162.4,12,S0057
540,2024-04-22,C000225,76,7093.14,113,S0025
541,2024-04-22,C000225,76,23139.97,69,S0042
541,2024-04-22,C000225,76,594.38,6,S0038
542,2024-04-24,C000976,59,1031.7,24,S0024
543,2024-04-25,C000915,74,227453.89,75,S0025
544,2024-04-29,C000079,76,661.05,1,S0056
545,2024-05-02,C000276,76,15383.25,4,S0043
546,2024-05-02,C000004,35,8607.78,1,S0002
547,2024-05-02,C000004,76,78940.76,1,S0002
549,2024-05-02,C000004,76,60919.56,1,S0002
550,2024-05-02,C000007,76,103676.71,7,S0002
551,2024-05-07,C000680,76,73.34,11,S0056
552,2024-05-07,C000293,35,44221.86,3,S0036
553,2024-05-09,C000843,76,818.95,7,S0024
554,2024-05-14,C000456,76,4665.77,54,S0024
555,2024-05-14,C000227,76,1719.44,1,S0042
556,2024-05-14,C000161,76,4023.06,1,S0042
557,2024-05-14,C000120,76,10598.82,1,S0042
558,2024-05-14,C000349,76,689.8,5,S0042
559,2024-05-14,C000228,76,1591.85,3,S0042
561,2024-05-14,C000220,76,4324.74,1,S0042
562,2024-05-15,C000976,76,298.48,22,S0024
563,2024-05-15,C000225,76,439.57,361,S0038
564,2024-05-15,C000184,76,11150.72,1,S0042
565,2024-05-17,C000923,73,6522.38,1,S0032
566,2024-05-17,C001022,72,13223.59,9,S0032
567,2024-05-17,C001032,72,2132.8,1,S0032
568,2024-05-17,C001035,72,2929.24,1,S0032
569,2024-05-17,C001036,72,2990.27,2,S0032
570,2024-05-21,C000162,76,3402.23,138,S0024
570,2024-05-21,C000162,76,6234.23,15,S0059
571,2024-05-24,C000225,76,6689.67,96,S0025
572,2024-05-24,C000225,76,4977.99,1,S0055
573,2024-05-24,C000079,76,1253.66,1,S0056
574,2024-05-28,C000701,76,1199.74,1,S0059
575,2024-06-04,C000007,76,217652.91,5,S0002
576,2024-06-04,C000276,76,10981.19,1,S0043
577,2024-06-04,C000276,76,18624.96,1,S0043
578,2024-06-04,C000276,76,5852.82,1,S0043
579,2024-06-04,C000680,76,112.35,1,S0056
580,2024-06-05,C000004,76,2384.77,1,S0002
581,2024-06-05,C000004,76,5106.63,1,S0002
582,2024-06-05,C000004,76,1418.78,1,S0002
583,2024-06-06,C000456,76,5744.18,65,S0024
584,2024-06-14,C000843,76,2701.1,1,S0024
585,2024-06-14,C000188,76,9426.43,4,S0039
586,2024-06-18,C000225,76,240.9,356,S0038
587,2024-06-19,C000225,76,1633.99,93,S0025
588,2024-06-20,C000162,76,4789.09,138,S0024
588,2024-06-20,C000162,76,9043.88,22,S0059
589,2024-06-20,C000976,76,750.19,13,S0024
590,2024-06-20,C000976,76,2719.64,23,S0024
591,2024-06-20,C000976,76,946.82,1,S0024
592,2024-06-25,C000079,76,1244.99,9,S0056
